Year,Charge,Non_DAT,DAT
2013,PL 2200300-CRIM POSS CONTRL SUBST-7TH,3173,1911
2013,PL 1654000-CRIM POSSESSION STOLN PROP-5TH,2623,2247
2013,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1883,2656
2013,PL 1552500-PETIT LARCENY,1159,992
2013,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,676,1005
2013,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,1228,352
2013,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,786,793
2013,PL 2214000-CRIM SALE MARIHUANA-4TH,1437,3
2013,LOC00000UM-VIOL OF LOCAL LAW MISD,1059,363
2013,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,1390,8
2013,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1271,2
2013,PL 1201401-MENACING-2ND:WEAPON,1063,99
2013,PL 1401000-CRIMINAL TRESPASS-3RD,686,316
2013,PL 2053000-RESISTING ARREST,653,1
2013,PL 1401500-CRIMINAL TRESPASS-2ND,345,248
2013,PL 2403001-AGG HAR-2ND:COMUNICATE/ALARM,511,79
2013,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,587,1
2013,VTL11920U3-DWI- 1ST OFFENSE              ,533,3
2013,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5393,1668
2013,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5931,1101
2013,PL 1552500-PETIT LARCENY,3213,3025
2013,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1237,4935
2013,LOC000000V-VIOL OF LOCAL LAW VIOL,5307,498
2013,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2722,2220
2013,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1658,2772
2013,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,630,998
2013,PL 2053000-RESISTING ARREST,1554,4
2013,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,672,776
2013,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1296,4
2013,PL 2214000-CRIM SALE MARIHUANA-4TH,1250,2
2013,PL 1401000-CRIMINAL TRESPASS-3RD,789,441
2013,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,880,212
2013,PL 1201401-MENACING-2ND:WEAPON,912,71
2013,LOC00000UM-VIOL OF LOCAL LAW MISD,658,324
2013,PL 1654000-CRIM POSSESSION STOLN PROP-5TH,520,363
2013,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,794,7
2013,PL 1401500-CRIMINAL TRESPASS-2ND,398,343
2013,PL 2403001-AGG HAR-2ND:COMUNICATE/ALARM,580,90
2013,VTL11920U3-DWI- 1ST OFFENSE              ,647,3
2013,PL 1211100-CRIM OBSTRUCTION BREATHING    ,610,6
2013,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,566,3
2013,PL 2300000-PROSTITUTION,503,8
2014,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,6477,2080
2014,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5862,1075
2014,LOC000000V-VIOL OF LOCAL LAW VIOL,5745,548
2014,PL 1552500-PETIT LARCENY,3120,3026
2014,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2875,2541
2014,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,2069,3617
2014,PL 2053000-RESISTING ARREST,1602,7
2014,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1382,5402
2014,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1359,2
2014,PL 2214000-CRIM SALE MARIHUANA-4TH,1226,6
2014,PL 1401000-CRIMINAL TRESPASS-3RD,990,635
2014,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,931,205
2014,PL 1201401-MENACING-2ND:WEAPON,893,69
2014,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,793,1308
2014,VTL11920U3-DWI- 1ST OFFENSE              ,700,3
2014,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,669,860
2014,PL 2403001-AGG HAR-2ND:COMUNICATE/ALARM,644,105
2014,PL 1211100-CRIM OBSTRUCTION BREATHING    ,583,14
2014,PL 1401500-CRIMINAL TRESPASS-2ND,574,486
2014,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,555,4
2014,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,522,5
2014,PL 2300000-PROSTITUTION,521,12
2014,LOC000000V-VIOL OF LOCAL LAW VIOL,7192,548
2014,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,6446,1449
2014,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5830,2003
2014,PL 1552500-PETIT LARCENY,3459,3528
2014,PL 2200300-CRIM POSS CONTRL SUBST-7TH,3035,2514
2014,PL 2053000-RESISTING ARREST,1734,5
2014,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1726,3207
2014,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1432,6013
2014,PL 2214000-CRIM SALE MARIHUANA-4TH,1387,2
2014,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1315,4
2014,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,990,274
2014,PL 1201401-MENACING-2ND:WEAPON,986,101
2014,PL 1401000-CRIMINAL TRESPASS-3RD,837,557
2014,LOC00000UM-VIOL OF LOCAL LAW MISD,727,381
2014,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,718,1179
2014,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,703,1009
2014,PL 1211100-CRIM OBSTRUCTION BREATHING    ,678,6
2014,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,662,3
2014,VTL11920U3-DWI- 1ST OFFENSE              ,651,1
2014,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,533,6
2014,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,6317,1372
2014,LOC000000V-VIOL OF LOCAL LAW VIOL,6729,524
2014,PL 1552500-PETIT LARCENY,3546,3690
2014,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5301,1767
2014,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1382,5662
2014,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2842,2665
2014,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1425,2792
2014,PL 2214000-CRIM SALE MARIHUANA-4TH,1845,4
2014,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,594,1090
2014,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,715,904
2014,PL 2053000-RESISTING ARREST,1594,5
2014,LOC00000UM-VIOL OF LOCAL LAW MISD,941,449
2014,PL 1401000-CRIMINAL TRESPASS-3RD,738,552
2014,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1212,1
2014,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,893,253
2014,PL 1201401-MENACING-2ND:WEAPON,959,112
2014,PL 1211100-CRIM OBSTRUCTION BREATHING    ,658,10
2014,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,620,2
2014,VTL11920U3-DWI- 1ST OFFENSE              ,572,2
2014,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,501,8
2014,PL 1552500-PETIT LARCENY,3198,3556
2014,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5330,1325
2014,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,4452,1490
2014,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2318,2154
2014,LOC000000V-VIOL OF LOCAL LAW VIOL,3855,352
2014,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,815,3144
2014,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1342,2527
2014,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,521,997
2014,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,594,676
2014,PL 1401000-CRIMINAL TRESPASS-3RD,658,567
2014,PL 2053000-RESISTING ARREST,1110,5
2014,PL 2214000-CRIM SALE MARIHUANA-4TH,1103,6
2014,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1100,1
2014,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,826,234
2014,PL 1201401-MENACING-2ND:WEAPON,853,85
2014,LOC00000UM-VIOL OF LOCAL LAW MISD,456,280
2014,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,735,1
2014,PL 1211100-CRIM OBSTRUCTION BREATHING    ,651,15
2014,PL 1401500-CRIMINAL TRESPASS-2ND,338,304
2014,PL 2403002-AGG HAR-2ND:TELEPHONE,524,99
2014,VTL11920U3-DWI- 1ST OFFENSE              ,556,4
2015,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5189,1318
2015,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5011,1800
2015,LOC000000V-VIOL OF LOCAL LAW VIOL,4025,422
2015,PL 1552500-PETIT LARCENY,3238,2685
2015,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2660,2005
2015,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1371,2829
2015,PL 2053000-RESISTING ARREST,1032,4
2015,PL 2214000-CRIM SALE MARIHUANA-4TH,994,9
2015,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,984,0
2015,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,840,250
2015,PL 1201401-MENACING-2ND:WEAPON,787,75
2015,PL 1401000-CRIMINAL TRESPASS-3RD,765,613
2015,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,604,1016
2015,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,577,2121
2015,PL 2403002-AGG HAR-2ND:TELEPHONE,572,120
2015,PL 1211100-CRIM OBSTRUCTION BREATHING    ,562,11
2015,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,561,7
2015,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,560,764
2015,VTL11920U3-DWI- 1ST OFFENSE              ,510,3
2015,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5701,1431
2015,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5237,1877
2015,LOC000000V-VIOL OF LOCAL LAW VIOL,4025,406
2015,PL 1552500-PETIT LARCENY,3844,3184
2015,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2468,2061
2015,PL 2053000-RESISTING ARREST,1290,1
2015,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1127,2327
2015,PL 2214000-CRIM SALE MARIHUANA-4TH,1067,7
2015,AC 010125B-ADMINISTRATION CODE VIOL,1030,14
2015,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,997,0
2015,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,910,264
2015,PL 1201401-MENACING-2ND:WEAPON,862,102
2015,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,774,3281
2015,PL 1211100-CRIM OBSTRUCTION BREATHING    ,632,14
2015,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,601,4
2015,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,578,885
2015,PL 1401000-CRIMINAL TRESPASS-3RD,565,407
2015,PL 2403002-AGG HAR-2ND:TELEPHONE,518,102
2015,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5866,1968
2015,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5686,1515
2015,PL 1552500-PETIT LARCENY,3569,2921
2015,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1023,3981
2015,PL 2200300-CRIM POSS CONTRL SUBST-7TH,2241,2239
2015,LOC000000V-VIOL OF LOCAL LAW VIOL,3854,466
2015,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1029,1985
2015,AC 010125B-ADMINISTRATION CODE VIOL,1438,16
2015,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,598,851
2015,PL 2214000-CRIM SALE MARIHUANA-4TH,1389,8
2015,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,950,272
2015,PL 2053000-RESISTING ARREST,1213,3
2015,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,442,736
2015,PL 1201401-MENACING-2ND:WEAPON,924,93
2015,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,976,3
2015,LOC00000UM-VIOL OF LOCAL LAW MISD,650,324
2015,PL 1401000-CRIMINAL TRESPASS-3RD,576,357
2015,PL 1211100-CRIM OBSTRUCTION BREATHING    ,667,17
2015,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,586,6
2015,PL 2403002-AGG HAR-2ND:TELEPHONE,471,100
2015,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5394,1864
2015,PL 1552500-PETIT LARCENY,3282,3063
2015,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,4884,1302
2015,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,764,3025
2015,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1889,1857
2015,LOC000000V-VIOL OF LOCAL LAW VIOL,3154,376
2015,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1079,1999
2015,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,481,760
2015,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,441,719
2015,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,762,249
2015,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,950,1
2015,PL 1401000-CRIMINAL TRESPASS-3RD,597,348
2015,PL 2053000-RESISTING ARREST,936,2
2015,PL 2214000-CRIM SALE MARIHUANA-4TH,923,7
2015,PL 1201401-MENACING-2ND:WEAPON,830,85
2015,AC 010125B-ADMINISTRATION CODE VIOL,879,12
2015,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,741,8
2015,PL 1211100-CRIM OBSTRUCTION BREATHING    ,575,10
2015,PL 2403002-AGG HAR-2ND:TELEPHONE,460,97
2016,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5549,1919
2016,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5136,1256
2016,PL 1552500-PETIT LARCENY,3200,2664
2016,LOC000000V-VIOL OF LOCAL LAW VIOL,2454,355
2016,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1946,1931
2016,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1326,2684
2016,PL 2214000-CRIM SALE MARIHUANA-4TH,1068,6
2016,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1023,1
2016,PL 2053000-RESISTING ARREST,972,2
2016,PL 1201401-MENACING-2ND:WEAPON,848,98
2016,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,842,235
2016,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,836,3061
2016,AC 010125B-ADMINISTRATION CODE VIOL,647,10
2016,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,618,8
2016,PL 1401000-CRIMINAL TRESPASS-3RD,582,478
2016,PL 1211100-CRIM OBSTRUCTION BREATHING    ,571,9
2016,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,521,813
2016,PL 2403002-AGG HAR-2ND:TELEPHONE,507,98
2016,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5473,1499
2016,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,4892,1782
2016,PL 1552500-PETIT LARCENY,3373,2789
2016,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1817,1762
2016,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1138,2248
2016,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1062,3
2016,PL 2053000-RESISTING ARREST,1021,1
2016,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1006,3831
2016,PL 1201401-MENACING-2ND:WEAPON,916,85
2016,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,854,299
2016,PL 2214000-CRIM SALE MARIHUANA-4TH,843,6
2016,AC 010125B-ADMINISTRATION CODE VIOL,812,4
2016,LOC000000V-VIOL OF LOCAL LAW VIOL,644,29
2016,PL 1211100-CRIM OBSTRUCTION BREATHING    ,591,17
2016,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,560,809
2016,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,559,9
2016,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,521,13
2016,VTL11920U3-DWI- 1ST OFFENSE              ,513,6
2016,PL 2403002-AGG HAR-2ND:TELEPHONE,508,87
2016,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5282,1452
2016,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,4500,1539
2016,PL 1552500-PETIT LARCENY,3442,2595
2016,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,977,3492
2016,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1748,1699
2016,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1124,2078
2016,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,884,287
2016,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,459,577
2016,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,372,594
2016,PL 1201401-MENACING-2ND:WEAPON,831,108
2016,AC 010125B-ADMINISTRATION CODE VIOL,865,3
2016,PL 2053000-RESISTING ARREST,863,3
2016,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,840,1
2016,PL 2214000-CRIM SALE MARIHUANA-4TH,823,6
2016,PL 1211100-CRIM OBSTRUCTION BREATHING    ,653,14
2016,PL 1401000-CRIMINAL TRESPASS-3RD,360,288
2016,LOC000000V-VIOL OF LOCAL LAW VIOL,595,33
2016,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,581,7
2016,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,535,4
2016,PL 2403002-AGG HAR-2ND:TELEPHONE,442,91
2016,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,4572,1597
2016,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,4853,1293
2016,PL 1552500-PETIT LARCENY,3226,2582
2016,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,837,3057
2016,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1299,2515
2016,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1730,1544
2016,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,796,271
2016,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,391,642
2016,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,467,557
2016,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1021,2
2016,PL 1201401-MENACING-2ND:WEAPON,782,88
2016,PL 2214000-CRIM SALE MARIHUANA-4TH,860,5
2016,PL 1401000-CRIMINAL TRESPASS-3RD,459,331
2016,PL 2053000-RESISTING ARREST,728,2
2016,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,669,9
2016,PL 1211100-CRIM OBSTRUCTION BREATHING    ,624,11
2016,AC 010125B-ADMINISTRATION CODE VIOL,600,2
2016,LOC000000V-VIOL OF LOCAL LAW VIOL,549,33
2016,PL 2403002-AGG HAR-2ND:TELEPHONE,445,93
2017,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,4886,1321
2017,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,4524,1526
2017,PL 1552500-PETIT LARCENY,3259,2206
2017,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1720,1722
2017,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1526,2829
2017,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1005,1
2017,PL 2214000-CRIM SALE MARIHUANA-4TH,960,9
2017,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,820,3075
2017,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,767,242
2017,PL 1201401-MENACING-2ND:WEAPON,756,85
2017,PL 2053000-RESISTING ARREST,696,1
2017,PL 1211100-CRIM OBSTRUCTION BREATHING    ,595,14
2017,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,571,7
2017,LOC000000V-VIOL OF LOCAL LAW VIOL,532,23
2017,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5073,1487
2017,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,3702,1116
2017,PL 1552500-PETIT LARCENY,3369,2454
2017,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1602,1577
2017,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1250,2423
2017,PL 2214000-CRIM SALE MARIHUANA-4TH,969,6
2017,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,928,0
2017,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,898,3534
2017,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,799,282
2017,PL 1201401-MENACING-2ND:WEAPON,777,117
2017,PL 2053000-RESISTING ARREST,695,1
2017,AC 010125B-ADMINISTRATION CODE VIOL,625,2
2017,PL 1211100-CRIM OBSTRUCTION BREATHING    ,604,11
2017,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,557,10
2017,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5018,1518
2017,PL 1552500-PETIT LARCENY,3674,2287
2017,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,989,3477
2017,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,2947,1100
2017,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1237,2200
2017,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1541,1540
2017,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,801,269
2017,PL 1201401-MENACING-2ND:WEAPON,834,114
2017,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,898,2
2017,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,433,451
2017,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,282,517
2017,PL 2214000-CRIM SALE MARIHUANA-4TH,769,7
2017,PL 1211100-CRIM OBSTRUCTION BREATHING    ,667,14
2017,PL 2053000-RESISTING ARREST,647,3
2017,PL 1401000-CRIMINAL TRESPASS-3RD,327,225
2017,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,514,8
2017,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,4804,1439
2017,PL 1552500-PETIT LARCENY,3458,2315
2017,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,976,3156
2017,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,3094,988
2017,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1464,2554
2017,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1511,1128
2017,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1008,13
2017,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,737,258
2017,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,415,482
2017,PL 1201401-MENACING-2ND:WEAPON,766,98
2017,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,324,492
2017,PL 1211100-CRIM OBSTRUCTION BREATHING    ,606,18
2017,PL 2053000-RESISTING ARREST,608,4
2017,PL 1401000-CRIMINAL TRESPASS-3RD,376,205
2017,PL 2214000-CRIM SALE MARIHUANA-4TH,566,7
2017,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,526,5
2018,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,5169,1295
2018,PL 1552500-PETIT LARCENY,3681,2051
2018,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,1687,2953
2018,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,903,2920
2018,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,2432,454
2018,PL 2200300-CRIM POSS CONTRL SUBST-7TH,1486,1267
2018,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,787,277
